text
"### Instruction:
tell me about acct 2110-01

### Response:
In 202620, the course 'Fundamentals of Accounting I' was taught by Suraj Ghimire at CRAMER 120 on   T R   at 0930-1045.

### End"
"### Instruction:
tell me about acct 2110-01d

### Response:
In 202620, the course 'Fundamentals of Accounting I' was taught by Suraj Ghimire at   on   T R   at 0930-1045.

### End"
"### Instruction:
tell me about acct 3071-01

### Response:
In 202620, the course 'Financial Accounting' was taught by Carrie A. Marsyla at   on   T R   at 1700-1815.

### End"
"### Instruction:
tell me about ae 3013-01d

### Response:
In 202620, the course 'Orbital Mechanics' was taught by David Westpfahl at   on   T R   at 0800-0915.

### End"
"### Instruction:
tell me about ae 4063-01

### Response:
In 202620, the course 'Bioinspiration & Biomimetics' was taught by Mostafa Hassanalian at   on   T R   at 0930-1045.

### End"
"### Instruction:
tell me about ae 4089-01

### Response:
In 202620, the course 'Comput Fluid Dyn & React Flow' was taught by Sayavur Bakhtiyarov at   on   T R   at 1230-1345.

### End"
"### Instruction:
tell me about arts 0289-01

### Response:
In 202620, the course 'History of Animation' was taught by Rebecca M. Spruill at   on  M W F  at 1300-1350.

### End"
"### Instruction:
tell me about arts 1710-01

### Response:
In 202620, the course 'g:Intro to Print Making' was taught by Rebecca M. Spruill at FACE 114 on   T R   at 1400-1600.

### End"
"### Instruction:
tell me about bfin 3002-01

### Response:
In 202620, the course 'Intro Financial Economics' was taught by Haoying Wang at   on  M W    at 1300-1415.

### End"
"### Instruction:
tell me about biol 1131-01

### Response:
In 202620, the course 'Intro to Biology & BMS' was taught by Kaarin K. Goncz at JONESA 101 on  M      at 1200-1250.

### End"
"### Instruction:
tell me about biol 2110-01

### Response:
In 202620, the course 'Prin of Bio: Cell & Molecular' was taught by Kaarin K. Goncz at JONESA 101 on  M W F  at 1100-1150.

### End"
"### Instruction:
tell me about biol 2110l-02

### Response:
In 202620, the course 'Prin of Bio: Cell & Molec Lab' was taught by Kaarin K. Goncz at JONESA 224 on   T     at 1400-1630.

### End"
"### Instruction:
tell me about biol 2110l-03

### Response:
In 202620, the course 'Prin of Bio: Cell & Molec Lab' was taught by Casia Esparza at JONESA 224 on    W    at 1400-1630.

### End"
"### Instruction:
tell me about biol 2141-01

### Response:
In 202620, the course 'SEAPHAGE: Phage Discovery' was taught by Kaarin K. Goncz at JONESA 230 on  M  R   at 1400-1630.

### End"
